date,equity,daily_return,target_exposure,actual_equivalent_exposure,trend_label,vix_label
2018-04-23,137980.85037844337,-0.00014418336281345033,96.0,96.0,confirmed_bull,low
2018-04-24,136196.94530535248,-0.012928642403624338,96.0,96.0,confirmed_bull,low
2018-04-25,136520.13266720736,0.002372941339692147,96.0,96.0,confirmed_bull,low
2018-04-26,137852.4129650705,0.009758855868612599,96.0,96.0,confirmed_bull,low
2018-04-27,137976.66868746138,0.0009013677723751811,96.0,96.0,confirmed_bull,low
2018-04-30,136957.99189663565,-0.00738296409469914,96.0,96.0,confirmed_bull,low
2018-05-01,137191.60240404852,0.0017057092045360633,96.0,96.0,confirmed_bull,low
2018-05-02,136306.87546372908,-0.006448841800927454,96.0,96.0,confirmed_bull,low
2018-05-03,136018.5426739193,-0.00211532095375869,96.0,96.0,confirmed_bull,low
2018-05-04,137709.03620695884,0.012428404979255134,96.0,96.0,confirmed_bull,low
2018-05-07,138156.31348354547,0.0032479878510981307,96.0,96.0,confirmed_bull,low
2018-05-08,138156.31348354547,0.0,96.0,96.0,confirmed_bull,low
2018-05-09,139438.32568129463,0.009279432589245075,96.0,96.0,confirmed_bull,low
2018-05-10,140689.9661362949,0.008976301521728515,96.0,96.0,confirmed_bull,low
2018-05-11,141102.10674842613,0.00292942434666557,96.0,96.0,confirmed_bull,low
2018-05-14,141166.6823315481,0.0004576514455388292,96.0,96.0,confirmed_bull,low
2018-05-15,140233.33306087833,-0.006611682411559911,96.0,96.0,confirmed_bull,low
2018-05-16,140799.43500335026,0.004036857215867258,96.0,96.0,confirmed_bull,low
2018-05-17,140656.04456617392,-0.0010184020779127043,120.0,119.99000000000001,accelerating_bull,low
2018-05-18,140233.37431643918,-0.0030049917231668955,120.0,119.99000000000001,accelerating_bull,low
2018-05-21,141497.85400569005,0.00901696686266383,120.0,119.99000000000001,accelerating_bull,low
2018-05-22,141025.1881568629,-0.0033404453526775972,120.0,119.99000000000001,accelerating_bull,low
2018-05-23,141490.0486291497,0.0032962939341712127,120.0,119.99000000000001,accelerating_bull,low
2018-05-24,141141.54303492059,-0.002463110286593812,120.0,119.99000000000001,accelerating_bull,low
2018-05-25,140737.3669732159,-0.002863622240580849,120.0,119.99000000000001,accelerating_bull,low
2018-05-29,138794.48531144866,-0.013805016418539297,120.0,119.99000000000001,accelerating_bull,low
2018-05-30,141016.30669988564,0.016007994722926504,120.0,119.99000000000001,accelerating_bull,low
2018-05-31,139979.06322554103,-0.007355486032917483,120.0,119.99000000000001,accelerating_bull,low
2018-06-01,141627.39134524824,0.011775533295656913,120.0,119.99000000000001,accelerating_bull,low
2018-06-04,142434.14606649216,0.005696318442223434,120.0,119.99000000000001,accelerating_bull,low
2018-06-05,142557.83355714625,0.0008683836992034579,120.0,119.99000000000001,accelerating_bull,low
2018-06-06,143987.2326598588,0.01002680152360452,120.0,119.99000000000001,accelerating_bull,low
2018-06-07,143967.9314753223,-0.00013404788869100852,120.0,119.99000000000001,accelerating_bull,low
2018-06-08,144477.93310219303,0.0035424668649779254,120.0,119.99000000000001,accelerating_bull,low
2018-06-11,144707.79563955497,0.0015909871661811087,120.0,119.99000000000001,accelerating_bull,low
2018-06-12,144931.53916910346,0.0015461746795300785,120.0,119.99000000000001,accelerating_bull,low
2018-06-13,144375.91321864276,-0.0038337131699982263,120.0,119.99000000000001,accelerating_bull,low
2018-06-14,144811.40240401475,0.0030163562305057508,120.0,119.99000000000001,accelerating_bull,low
2018-06-15,144589.10939989993,-0.0015350518013398308,120.0,119.99000000000001,accelerating_bull,low
2018-06-18,144231.53908183755,-0.002473010031989486,120.0,119.99000000000001,accelerating_bull,low
2018-06-19,143567.48119145873,-0.004604110131571303,120.0,119.99000000000001,accelerating_bull,low
2018-06-20,143860.71924106742,0.0020425102340384032,120.0,119.99000000000001,accelerating_bull,low
2018-06-21,142777.92815247003,-0.007526662554654257,120.0,119.99000000000001,accelerating_bull,low
2018-06-22,143089.53873747218,0.002182484288953659,120.0,119.99000000000001,accelerating_bull,low
2018-06-25,140751.6779686789,-0.01633844646800183,120.0,119.99000000000001,accelerating_bull,low
2018-06-26,141124.90620980205,0.0026516788041858826,120.0,119.99000000000001,accelerating_bull,low
2018-06-27,139721.4549428999,-0.009944745435761147,120.0,119.99000000000001,accelerating_bull,low
