date,equity,buy_hold_equity,leveraged_buy_hold_equity,ma120_timing_equity,leveraged_ma120_timing_equity,daily_return,buy_hold_daily_return,leveraged_buy_hold_daily_return,ma120_timing_daily_return,leveraged_ma120_timing_daily_return,target_exposure,actual_equivalent_exposure,overnight_equivalent_exposure,intraday_equivalent_exposure,post_close_equivalent_exposure,pending_next_open_equivalent_exposure,local_defensive_percent,post_close_local_defensive_percent,trend_label,vix_label
2010-09-02,966716.3887672237,1019083.7105487956,1031341.6602734693,1018200.3141263509,1041393.5349454075,0.00931207654219035,0.00931207654219035,0.027900515340856767,0.00931207654219035,0.027900515340856767,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-09-03,979256.136581781,1032302.7403290825,1071438.9274423653,1031407.884942575,1081881.6063645284,0.012971485701766428,0.012971485701766428,0.038878742819585,0.012971485701766428,0.038878742819585,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-09-07,968217.7776577957,1020666.430133732,1035168.2798457916,1019781.6617250564,1045257.4503061573,-0.011272187644915999,-0.011272187644915999,-0.03385227722046228,-0.011272187644915999,-0.03385227722046228,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-09-08,975017.5824019412,1027834.5823758885,1056941.3062555105,1026943.6002283602,1067242.6854737783,0.007023011662308898,0.007023011662308898,0.02103332070121241,0.007023011662308898,0.02103332070121241,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-09-09,979521.3028161105,1032582.2706992435,1071549.9654221456,1031687.1730008175,1081993.7265655545,0.004619117127174777,0.004619117127174777,0.013821637095810043,0.004619117127174777,0.013821637095810043,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-09-10,984466.4611956093,1037795.3098172185,1087741.0037353102,1036895.6931768653,1098342.569313662,0.005048546024758682,0.005048546024758682,0.01510992378856176,0.005048546024758682,0.01510992378856176,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,risk_off,low
2010-09-13,995416.8181313587,1049338.8509297755,1123999.437813976,1048429.2277288077,1134954.3928162195,0.011123138641463193,0.011123138641463193,0.033333701638675294,0.011123138641463193,0.033333701638675294,240.0,100.0,100.0,100.0,240.0,240.0,0.0,0.0,allowed,low
2010-09-14,993908.1442179804,1048687.1151929514,1121864.9745355844,1047778.0569514785,1132799.1261918633,-0.0015156202767503983,-0.0006210917819793327,-0.0018989896316522837,-0.0006210917819793327,-0.0018989896316522837,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-09-15,1002988.4324660983,1052690.0164378167,1134671.5844205928,1051777.488266835,1145730.5544978615,0.009135943095890772,0.0038170596232878218,0.011415464584149179,0.0038170596232878218,0.011415464584149179,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-09-16,1002325.2351107472,1052410.9564991102,1133728.6825905156,1051498.6702322518,1144778.462763615,-0.0006612213400312732,-0.00026509222501303054,-0.0008309909607533773,-0.00026509222501303054,-0.0008309909607533773,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-09-17,1003198.2701284735,1052803.8608497637,1134957.9821731444,1051891.2339923393,1146019.743599222,0.0008710097153543956,0.0003733373813976648,0.0010842978584787088,0.0003733373813976648,0.0010842978584787088,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-09-20,1039987.5075130491,1068901.6488716567,1186979.3191879082,1067975.0675881135,1198548.1016915601,0.036671950580481054,0.01529039607520044,0.04583547393988704,0.01529039607520044,0.04583547393988704,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-09-21,1034935.4551346108,1066749.236795531,1179766.3834835398,1065824.5213382272,1191264.8657864826,-0.004857801023513599,-0.0020136670931306666,-0.0060767155651062854,-0.0020136670931306666,-0.0060767155651062854,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-09-22,1022706.1298775958,1061508.159962878,1162335.2149387752,1060587.9877520967,1173663.8059938932,-0.011816510098617053,-0.004913129207757105,-0.014775101908985603,-0.004913129207757105,-0.014775101908985603,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-09-23,1002770.9802685952,1052897.7589680473,1134008.9304087227,1051985.0507146975,1145061.441990873,-0.019492549253994053,-0.008111478855830856,-0.024370150853206853,-0.008111478855830856,-0.024370150853206853,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-09-24,1052376.2853091487,1074610.8050013648,1204125.6354739675,1073679.2747150576,1215861.5329396457,0.04946822955254108,0.020622178980225447,0.06183082265496206,0.020622178980225447,0.06183082265496206,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-09-27,1040251.2390697922,1069463.1558555414,1186778.4602023724,1068536.087827626,1198345.2850527777,-0.011521588246161021,-0.004790245102567092,-0.014406449593415563,-0.004790245102567092,-0.014406449593415563,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-09-28,1048964.2403136257,1073206.6611964907,1199198.5284423109,1072276.3480973497,1210886.40432185,0.008375862403802376,0.0035003593349176576,0.010465363719038686,0.0035003593349176576,0.010465363719038686,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-09-29,1044547.9453452837,1071335.1907848886,1192882.170384082,1070406.4999766834,1204508.4844727714,-0.004210148257314797,-0.0017438117738811654,-0.005267149607357782,-0.0017438117738811654,-0.005267149607357782,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-09-30,1037075.5427245519,1068153.0042552417,1182209.9150118784,1067227.071937008,1193732.2129654686,-0.007153719131831484,-0.0029702996382631186,-0.008946613200503642,-0.0029702996382631186,-0.008946613200503642,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-10-01,1047517.1024297026,1072645.1542126066,1197083.1525262122,1071715.3278578375,1208750.4110929715,0.0100682730186841,0.004205530424451709,0.01258087698764084,0.004205530424451709,0.01258087698764084,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-10-04,1028626.1018121341,1064596.26020166,1170092.451171686,1063673.4110599505,1181496.6474015168,-0.018034073690778887,-0.007503780704491203,-0.022547056399187894,-0.007503780704491203,-0.022547056399187894,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-10-05,1078299.72005567,1086028.4586567443,1240718.730122176,1085087.0309358225,1252811.2787495696,0.048291228616526224,0.020131761923552594,0.060359571484943496,0.020131761923552594,0.060359571484943496,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-10-06,1078050.3560254618,1085935.1250562058,1240354.5355570351,1084993.7782418553,1252443.534596289,-0.00023125669567566616,-8.594028986486091e-05,-0.00029353515530886845,-8.594028986486091e-05,-0.00029353515530886845,240.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,allowed,low
2010-10-07,1074901.8715554632,1084624.9734559061,1235820.8737495525,1083684.7623512375,1247865.6858796093,-0.002920535624705303,-0.001206473176960543,-0.0036551338165959147,-0.001206473176960543,-0.0036551338165959147,300.0,240.0,240.0,240.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2010-10-08,1092949.6124820842,1090708.2166780944,1256570.4654577398,1089762.7322919047,1268817.5115354578,0.016790128851952378,0.005608614379222221,0.016790128851952378,0.005608614379222221,0.016790128851952378,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2010-10-11,1096005.684782459,1091737.8029590335,1260084.0493861274,1090791.42607223,1272365.3402797566,0.0027961694349610466,0.0009439612402251107,0.0027961694349610466,0.0009439612402251107,0.0027961694349610466,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2010-10-12,1106115.4456655977,1095107.597552666,1271707.29971122,1094158.299547158,1284101.8755229793,0.009224186537997245,0.0030866336079038437,0.009224186537997245,0.0030866336079038437,0.009224186537997245,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2010-10-13,1131881.699593867,1103623.9122566315,1301330.9102802556,1102667.2318527356,1314014.2098314315,0.023294362292142733,0.007776692192619006,0.023294362292142733,0.007776692192619006,0.023294362292142733,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2010-10-14,1118593.5282348972,1099318.241327762,1286053.423121719,1098365.2933103768,1298587.8220785186,-0.01173989416361946,-0.003901393292635058,-0.01173989416361946,-0.003901393292635058,-0.01173989416361946,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2010-10-15,1125411.8173144201,1101564.9278673348,1293892.449353518,1100610.0323015484,1306503.2506435765,0.006095412593958147,0.002043708959890811,0.006095412593958147,0.002043708959890811,0.006095412593958147,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2010-10-18,1142008.5121541317,1106993.048246228,1312973.7650167672,1106033.4472945407,1325770.5405586287,0.01474721927064578,0.004927644518786689,0.01474721927064578,0.004927644518786689,0.01474721927064578,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2010-10-19,1097071.9250826924,1092486.6357480309,1261309.912001433,1091539.6097327995,1273603.1506499613,-0.039348732161966916,-0.01310433929208421,-0.039348732161966916,-0.01310433929208421,-0.039348732161966916,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2010-10-20,1129175.2419277588,1103156.0211321583,1298219.280310856,1102199.746321386,1310872.2526526477,0.029262727548739896,0.009766147278151394,0.029262727548739896,0.009766147278151394,0.029262727548739896,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
2010-10-21,1136607.7337492357,1105589.56304539,1306764.4589732229,1104631.1787099557,1319500.7160966462,0.006582230592293201,0.0022059816260024956,0.006582230592293201,0.0022059816260024956,0.006582230592293201,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,accelerating_bull,low
